Implementation,File,Elapsed,Parses,SecondPerParse
sajson,testdata/apache_builds.json,1.002000,99,0.010121
rapidjson,testdata/apache_builds.json,1.003000,108,0.009287
vjson,testdata/apache_builds.json,1.000000,109,0.009174
yajl,testdata/apache_builds.json,1.008000,51,0.019765
jansson,testdata/apache_builds.json,1.014000,38,0.026684
sajson,testdata/github_events.json,1.000000,268,0.003731
rapidjson,testdata/github_events.json,1.003000,266,0.003771
vjson,testdata/github_events.json,1.000000,278,0.003597
yajl,testdata/github_events.json,1.004000,114,0.008807
jansson,testdata/github_events.json,1.007000,65,0.015492
sajson,testdata/instruments.json,1.000000,38,0.026316
rapidjson,testdata/instruments.json,1.007000,44,0.022886
vjson,testdata/instruments.json,1.019000,34,0.029971
yajl,testdata/instruments.json,1.022000,16,0.063875
jansson,testdata/instruments.json,1.072000,10,0.107200
sajson,testdata/mesh.json,1.094000,11,0.099455
rapidjson,testdata/mesh.json,1.008000,18,0.056000
vjson,testdata/mesh.json,1.173000,4,0.293250
yajl,testdata/mesh.json,1.204000,2,0.602000
jansson,testdata/mesh.json,1.403000,2,0.701500
sajson,testdata/update-center.json,1.016000,40,0.025400
rapidjson,testdata/update-center.json,1.017000,46,0.022109
vjson,testdata/update-center.json,1.013000,50,0.020260
yajl,testdata/update-center.json,1.005000,17,0.059118
jansson,testdata/update-center.json,1.032000,9,0.114667
