Implementation,File,Elapsed,Parses,SecondPerParse
sajson,testdata/apache_builds.json,1.001000,447,0.002239
rapidjson,testdata/apache_builds.json,1.002000,187,0.005358
vjson,testdata/apache_builds.json,1.000000,474,0.002110
yajl,testdata/apache_builds.json,1.008000,70,0.014400
jansson,testdata/apache_builds.json,1.029000,32,0.032156
sajson,testdata/github_events.json,1.000000,534,0.001873
rapidjson,testdata/github_events.json,1.000000,407,0.002457
vjson,testdata/github_events.json,1.000000,1021,0.000979
yajl,testdata/github_events.json,1.003000,125,0.008024
jansson,testdata/github_events.json,1.004000,41,0.024488
sajson,testdata/instruments.json,1.006000,150,0.006707
rapidjson,testdata/instruments.json,1.006000,115,0.008748
vjson,testdata/instruments.json,1.000000,248,0.004032
yajl,testdata/instruments.json,1.001000,15,0.066733
jansson,testdata/instruments.json,1.190000,5,0.238000
sajson,testdata/mesh.json,1.017000,39,0.026077
rapidjson,testdata/mesh.json,1.010000,28,0.036071
vjson,testdata/mesh.json,1.023000,38,0.026921
yajl,testdata/mesh.json,1.546000,2,0.773000
jansson,testdata/mesh.json,2.099000,1,2.099000
sajson,testdata/update-center.json,1.011000,49,0.020633
rapidjson,testdata/update-center.json,1.023000,42,0.024357
vjson,testdata/update-center.json,1.001000,105,0.009533
yajl,testdata/update-center.json,1.059000,17,0.062294
jansson,testdata/update-center.json,1.043000,5,0.208600
