Implementation,File,Elapsed,Parses,SecondPerParse
sajson,testdata/apache_builds.json,1.001000,449,0.002229
rapidjson,testdata/apache_builds.json,1.003000,186,0.005392
vjson,testdata/apache_builds.json,1.002000,438,0.002288
yajl,testdata/apache_builds.json,1.008000,65,0.015508
jansson,testdata/apache_builds.json,1.015000,28,0.036250
sajson,testdata/github_events.json,1.001000,536,0.001868
rapidjson,testdata/github_events.json,1.002000,383,0.002616
vjson,testdata/github_events.json,1.000000,1028,0.000973
yajl,testdata/github_events.json,1.003000,120,0.008358
jansson,testdata/github_events.json,1.001000,41,0.024415
sajson,testdata/instruments.json,1.004000,154,0.006519
rapidjson,testdata/instruments.json,1.004000,117,0.008581
vjson,testdata/instruments.json,1.001000,248,0.004036
yajl,testdata/instruments.json,1.046000,15,0.069733
jansson,testdata/instruments.json,1.182000,6,0.197000
sajson,testdata/mesh.json,1.006000,38,0.026474
rapidjson,testdata/mesh.json,1.001000,25,0.040040
vjson,testdata/mesh.json,1.009000,36,0.028028
yajl,testdata/mesh.json,1.576000,2,0.788000
jansson,testdata/mesh.json,1.885000,1,1.885000
sajson,testdata/update-center.json,1.009000,49,0.020592
rapidjson,testdata/update-center.json,1.015000,44,0.023068
vjson,testdata/update-center.json,1.008000,109,0.009248
yajl,testdata/update-center.json,1.042000,15,0.069467
jansson,testdata/update-center.json,1.049000,6,0.174833
