Implementation,File,Elapsed,Parses,SecondPerParse
sajson,testdata/apache_builds.json,1.000110,2904,0.000344
rapidjson,testdata/apache_builds.json,1.000018,2472,0.000405
vjson,testdata/apache_builds.json,1.000360,2735,0.000366
yajl,testdata/apache_builds.json,1.000956,355,0.002820
jansson,testdata/apache_builds.json,1.004371,209,0.004806
sajson,testdata/github_events.json,1.000074,4882,0.000205
rapidjson,testdata/github_events.json,1.000089,4901,0.000204
vjson,testdata/github_events.json,1.000123,4670,0.000214
yajl,testdata/github_events.json,1.001119,859,0.001165
jansson,testdata/github_events.json,1.001758,445,0.002251
sajson,testdata/instruments.json,1.000618,1200,0.000834
rapidjson,testdata/instruments.json,1.000687,1280,0.000782
vjson,testdata/instruments.json,1.000154,1209,0.000827
yajl,testdata/instruments.json,1.003724,150,0.006691
jansson,testdata/instruments.json,1.000888,127,0.007881
sajson,testdata/mesh.json,1.002293,236,0.004247
rapidjson,testdata/mesh.json,1.003580,236,0.004252
vjson,testdata/mesh.json,1.001643,155,0.006462
yajl,testdata/mesh.json,1.016379,25,0.040655
jansson,testdata/mesh.json,1.036601,28,0.037021
sajson,testdata/update-center.json,1.000396,475,0.002106
rapidjson,testdata/update-center.json,1.001450,448,0.002235
vjson,testdata/update-center.json,1.000066,430,0.002326
yajl,testdata/update-center.json,1.013912,63,0.016094
jansson,testdata/update-center.json,1.021570,38,0.026883
